category,col,subsystem
1,grey,Biotin metabolism
1,grey,Exchange/demand reactions
1,grey,Transport reactions
2,grey,Arachidonic acid metabolism
2,grey,Bile acid biosynthesis
2,grey,Fatty acid biosynthesis
2,grey,Fatty acid elongation (even-chain)
2,grey,Formation and hydrolysis of cholesterol esters
2,grey,Sphingolipid metabolism
4,papayawhip,Fatty acid activation (endoplasmic reticular)
4,papayawhip,Fatty acid oxidation
1,grey,Inositol phosphate metabolism
3,slategray2,Nucleotide metabolism
3,slategray2,Purine metabolism
5,darkred,"Alanine, aspartate and glutamate metabolism"
5,darkred,Folate metabolism
5,darkred,"Glycine, serine and threonine metabolism"
5,darkred,Histidine metabolism
5,darkred,Lysine metabolism
5,darkred,"Phenylalanine, tyrosine and tryptophan biosynthesis"
5,darkred,"Valine, leucine, and isoleucine metabolism"
6,orangered,Glycolysis / Gluconeogenesis
6,orangered,Oxidative phosphorylation
6,orangered,Pentose phosphate pathway
6,orangered,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
